Name,Team,Age,Yards,Position,Attempts,YardsPerGame,Fumbles,Touchdowns
Dylan Laube,LVR,25,0,RB,1,0.0,1,0
Davante Adams,LVR,32,0,WR,0,0.0,0,0
Alex Bachman,LVR,28,0,WR,0,0.0,0,0
Harrison Bryant,LVR,26,0,TE,0,0.0,0,0
Divine Deablo,LVR,26,0,LB,0,0.0,0,0
Ramel Keyton,LVR,24,0,WR,0,0.0,0,0
Terrace Marshall Jr.,LVR,24,0,WR,0,0.0,0,0
Michael Mayer,LVR,23,0,TE,0,0.0,0,0
John Samuel Shenker,LVR,26,0,TE,0,0.0,0,0
Kristian Wilkerson,LVR,27,0,WR,0,0.0,0,0
De'Von Achane,MIA,23,907,RB,203,53.4,1,6
Raheem Mostert,MIA,32,278,RB,85,21.4,2,2
Jaylen Wright,MIA,21,249,RB,68,16.6,1,0
Tyler Huntley,MIA,26,135,QB,26,27.0,6,2
Jeff Wilson,MIA,29,57,RB,16,6.3,0,0
Tyreek Hill,MIA,30,53,WR,8,3.1,0,0
Tua Tagovailoa,MIA,26,49,QB,17,4.5,7,0
Malik Washington,MIA,23,25,WR,5,1.8,1,1
Alec Ingold,MIA,28,17,FB,10,1.1,2,1
Jaylen Waddle,MIA,26,12,WR,4,0.8,0,0
Tim Boyle,MIA,30,10,QB,2,5.0,0,0
Skylar Thompson,MIA,27,4,QB,1,1.3,2,0
Jake Bailey,MIA,27,0,P,1,0.0,1,0
Odell Beckham Jr.,MIA,32,0,WR,0,0.0,0,0
Braxton Berrios,MIA,29,0,WR,0,0.0,0,0
Robbie Chosen,MIA,31,0,WR,0,0.0,0,0
Tanner Conner,MIA,26,0,TE,0,0.0,0,0
River Cracraft,MIA,30,0,WR,0,0.0,0,0
Grant Dubose,MIA,23,0,WR,0,0.0,0,0
D'Wayne Eskridge,MIA,27,0,WR,0,0.0,0,0
Erik Ezukanma,MIA,24,0,WR,0,0.0,0,0
Julian Hill,MIA,24,0,TE,0,0.0,1,0
Durham Smythe,MIA,29,0,TE,0,0.0,0,0
Jonnu Smith,MIA,29,-1,TE,2,-0.1,2,0
Aaron Jones,MIN,30,1138,RB,255,66.9,5,5
Cam Akers,MIN,25,297,RB,64,24.8,0,1
Sam Darnold,MIN,27,212,QB,67,12.5,8,1
Ty Chandler,MIN,26,182,RB,56,10.7,0,0
Jordan Addison,MIN,22,20,WR,3,1.3,0,1
C.J. Ham,MIN,31,10,FB,2,0.6,1,1
Justin Jefferson,MIN,25,3,WR,1,0.2,1,0
T.J. Hockenson,MIN,27,0,TE,0,0.0,0,0
Johnny Mundt,MIN,30,0,TE,0,0.0,0,0
Josh Oliver,MIN,27,0,TE,0,0.0,0,0
Brandon Powell,MIN,29,0,WR,0,0.0,1,0
Trent Sherfield,MIN,28,0,WR,0,0.0,0,0
Myles Gaskin,MIN,27,-1,RB,3,-0.2,0,0
Nick Mullens,MIN,29,-2,QB,3,-0.5,0,0
Jalen Nailor,MIN,25,-4,WR,3,-0.2,1,0
Alvin Kamara,NOR,29,950,RB,228,67.9,1,6
Taysom Hill,NOR,34,278,TE,39,34.8,1,6
Jamaal Williams,NOR,29,164,RB,48,11.7,0,1
Kendre Miller,NOR,22,148,RB,39,24.7,0,1
Spencer Rattler,NOR,24,146,QB,18,20.9,5,0
Derek Carr,NOR,33,71,QB,17,7.1,3,1
Jordan Mims,NOR,25,70,RB,20,6.4,0,0
Clyde Edwards-Helaire,NOR,25,46,RB,13,23.0,0,0
Rashid Shaheed,NOR,26,29,WR,6,4.8,1,0
Jake Haener,NOR,25,22,QB,11,2.8,0,0
Matthew Hayball,NOR,27,11,P,1,0.6,0,0
Kevin Austin,NOR,24,9,WR,1,1.1,1,0
Chris Olave,NOR,24,7,WR,1,0.9,1,0
Marquez Valdes-Scantling,NOR,30,4,WR,1,0.5,0,0
Dallin Holker,NOR,24,0,TE,0,0.0,0,0
Juwan Johnson,NOR,28,0,TE,0,0.0,2,0
Bub Means,NOR,23,0,WR,0,0.0,0,0
Foster Moreau,NOR,27,0,TE,0,0.0,0,0
Dante Pettis,NOR,29,0,WR,0,0.0,0,0
Adam Prentice,NOR,27,0,FB,0,0.0,0,0
Mason Tipton,NOR,24,0,WR,0,0.0,0,0
Cedrick Wilson Jr.,NOR,29,0,WR,0,0.0,1,0
Jermaine Jackson,NOR,24,-1,WR,1,-0.3,0,0
Rhamondre Stevenson,NWE,26,801,RB,207,53.4,7,7
Antonio Gibson,NWE,26,538,RB,120,31.6,2,1
Drake Maye,NWE,22,421,QB,54,32.4,9,2
Jamycal Hasty,NWE,28,69,RB,20,4.6,0,0
Jacoby Brissett,NWE,32,62,QB,15,7.8,4,0
Terrell Jennings,NWE,23,33,RB,13,11.0,0,0
Joe Milton,NWE,24,16,QB,10,16.0,1,1
Demario Douglas,NWE,24,16,WR,3,0.9,1,0
Kendrick Bourne,NWE,29,6,WR,1,0.5,0,0
Marcus Jones,NWE,26,5,CB,1,0.4,2,0
Dell Pettus,NWE,23,2,S,1,0.1,0,0
Ja'Lynn Polk,NWE,22,0,WR,1,0.0,0,0
Javon Baker,NWE,22,0,WR,0,0.0,0,0
Jaheim Bell,NWE,23,0,TE,0,0.0,0,0
Kayshon Boutte,NWE,22,0,WR,0,0.0,0,0
Hunter Henry,NWE,30,0,TE,0,0.0,0,0
Austin Hooper,NWE,30,0,TE,0,0.0,2,0
Vederian Lowe,NWE,25,0,T,0,0.0,0,0
K.J. Osborn,NWE,27,0,WR,0,0.0,0,0
Tyquan Thornton,NWE,24,0,WR,0,0.0,0,0
Tyrone Tracy Jr.,NYG,25,839,RB,192,49.4,5,5
Devin Singletary,NYG,27,437,RB,113,29.1,2,4
Daniel Jones,NYG,27,265,QB,67,26.5,4,2
Drew Lock,NYG,28,133,QB,18,16.6,5,2
Tommy DeVito,NYG,26,32,QB,8,10.7,0,0
Eric Gray,NYG,25,31,RB,14,1.8,3,0
Wan'Dale Robinson,NYG,23,18,WR,3,1.1,0,0
Darius Slayton,NYG,27,17,WR,2,1.1,1,0
Dane Belton,NYG,24,10,S,1,0.6,0,0
Malik Nabers,NYG,21,2,WR,5,0.1,1,0
